"","ï..ID","Response","Group","X1","X2","X3","X4","X5","X6","X7","Y1","Y2","Y3","Y4","Y5","Y6","Y7"
"1",1,0,0,460,460,460,50.21,9.15,2.3,273.6,1,1,1,0,0,1,0
"2",2,0,1,74,0,7216,812.5,0.88,4.1,406.6,1,0,0,1,0,2,0
"3",3,0,1,58,0,0,87.71,0.39,4.7,946.1,1,0,0,1,0,2,1
"4",4,0,0,39,39,62,92.14,26.79,3.1,534.6,1,0,0,1,1,1,1
"5",5,0,1,15,45,60,75.24,16.6,3.6,1019.4,0,0,0,1,0,2,1
"6",6,0,0,47,141,188,58.36,11.1,2.6,643.6,1,0,0,0,0,1,1
"7",7,0,1,23,69,92,47.27,0.14,7.1,2682.6,0,0,0,0,0,2,1
"8",8,0,1,14,126,224,45.44,0.1,2.4,238,0,0,0,0,0,1,0
"9",9,0,0,56,0,0,59.5,11.68,2.7,478.5,1,0,0,0,1,1,0
"10",10,0,0,40,120,160,65.57,14.02,2.6,189.4,1,0,0,0,1,1,0
"11",11,0,1,8,24,32,50.95,7.73,2.6,235.2,0,0,0,0,0,1,0
"12",12,0,0,62,62,62,50.63,8.31,3,1009,1,0,0,0,0,1,1
"13",13,0,1,19,0,92,265.9,0.47,3.2,197.4,0,0,0,1,0,1,0
"14",14,0,1,11,33,44,76.1,0.14,3.5,455,0,0,0,1,0,1,0
"15",15,0,0,63,63,63,44.47,6.24,2.9,366,1,0,0,0,0,1,0
"16",16,0,0,178,534,712,53.49,9.94,3.8,179.3,1,1,1,0,0,1,0
"17",17,0,0,11,62,160,46.35,6.18,4.1,863.4,0,0,0,0,0,2,1
"18",18,0,0,12,0,44,43.78,5.47,4,231.5,0,0,0,0,0,2,0
"19",19,0,1,15,48,1360,38.49,9.02,4,1057.5,0,0,1,0,0,2,1
"20",20,0,1,11,99,176,68.19,12.53,4,500.5,0,0,0,0,0,2,1
"21",21,0,1,71,213,284,181.3,60.79,3.5,486.9,1,0,1,1,1,1,0
"22",22,0,1,14,0,0,132.2,25.38,2.3,256.6,0,0,0,1,0,1,0
"23",23,0,1,451,4059,7216,73.92,70.24,3.7,1122.6,1,1,1,1,1,2,1
"24",24,0,0,234,0,188,74.54,19.82,2.5,1493,1,0,0,1,1,1,1
"25",25,0,1,25,225,400,54.1,17.03,3.6,2879.9,0,0,1,0,0,2,1
"26",26,0,1,10,30,40,55.37,9.71,4.9,674.1,0,0,0,0,0,2,1
"27",27,0,1,19,171,304,61.22,16.04,3.5,243.1,0,0,1,0,0,1,0
"28",28,0,0,1123,3369,4492,55.33,11.83,3.2,1777.7,1,1,1,0,1,1,1
"29",29,0,1,5,0,0,58.49,6.41,2.9,499.3,0,0,0,0,0,1,0
"30",30,0,1,37,81,108,76.82,28.26,1.1,787.2,1,0,0,1,0,0,1
"31",31,0,0,63,63,63,41.94,5.48,3.1,209.3,1,0,0,0,0,1,0
"32",32,0,0,11,33,44,51.56,7.83,2.9,332.4,0,0,0,0,0,1,0
